route,pageName,actor,domain,authRequirement,designReference,functionStatus,visualStatus,backendApiDependency,missingFunctionality,missingStates,adminCounterpart,partnerCounterpart,priority,estimatedEffort,blockers,sourceFile
"/:locale/admin/content/new","AdminContentArticleEditorView","Admin","Admin Content / CMS","Admin session/role; local review is read-only bypass","yes","B","C","Content / Storage / Audit","Primary UI exists, but all actions and domain transitions are not accepted end to end","Desktop/mobile and Persian/English acceptance is incomplete; loading, empty, error and permission states not all verified","N/A","N/A","P1","M","Route-level design and QA acceptance","apps/web/app/[locale]/(admin)/admin/content/new/page.tsx"
"/:locale/admin/content/placements","AdminContentPlacementsView","Admin","Admin Content / CMS","Admin session/role; local review is read-only bypass","yes","B","C","Content / Storage / Audit","Primary UI exists, but all actions and domain transitions are not accepted end to end","Desktop/mobile and Persian/English acceptance is incomplete; loading, empty, error and permission states not all verified","N/A","N/A","P1","M","Route-level design and QA acceptance","apps/web/app/[locale]/(admin)/admin/content/placements/page.tsx"
"/:locale/admin/content/tags","AdminContentTagsView","Admin","Admin Content / CMS","Admin session/role; local review is read-only bypass","yes","B","C","Content / Storage / Audit","Primary UI exists, but all actions and domain transitions are not accepted end to end","Desktop/mobile and Persian/English acceptance is incomplete; loading, empty, error and permission states not all verified","N/A","N/A","P1","M","Route-level design and QA acceptance","apps/web/app/[locale]/(admin)/admin/content/tags/page.tsx"
"/:locale/admin/crm","crm","Admin","CRM","Admin session/role; local review is read-only bypass","no / indirect","C","C","None: sample-only workspace","Sample-only data; actions are not persisted and no domain API is connected","Desktop/mobile and Persian/English acceptance is incomplete; real loading/empty/error/permission states do not exist","N/A","N/A","P1","L","Missing backend/domain implementation","apps/web/app/[locale]/(admin)/admin/crm/page.tsx"
"/:locale/admin/customer-affairs","customer-affairs","Admin","Customer Affairs","Admin session/role; local review is read-only bypass","no / indirect","C","C","None: sample-only workspace","Sample-only data; actions are not persisted and no domain API is connected","Desktop/mobile and Persian/English acceptance is incomplete; real loading/empty/error/permission states do not exist","N/A","N/A","P1","L","Missing backend/domain implementation","apps/web/app/[locale]/(admin)/admin/customer-affairs/page.tsx"
"/:locale/admin/customers","AdminCustomersView","Admin","Admin Customers","Admin session/role; local review is read-only bypass","yes","B","C","Admin / Users / Pets / Orders / Support","Primary UI exists, but all actions and domain transitions are not accepted end to end","Desktop/mobile and Persian/English acceptance is incomplete; loading, empty, error and permission states not all verified","N/A","N/A","P1","M","Route-level design and QA acceptance","apps/web/app/[locale]/(admin)/admin/customers/page.tsx"
"/:locale/admin/customers/:id","Customer360View","Admin","Admin Customers","Admin session/role; local review is read-only bypass","yes","B","C","Admin / Users / Pets / Orders / Support","Dynamic ID, not-found, authorization and mutation path need route-level end-to-end acceptance","Desktop/mobile and Persian/English acceptance is incomplete; loading, empty, error, not-found and forbidden states not all verified","N/A","N/A","P1","M","Deterministic seeded IDs and role-scoped test fixtures","apps/web/app/[locale]/(admin)/admin/customers/[id]/page.tsx"
"/:locale/admin/disputes","AdminDisputesView","Admin","Admin Support / Trust","Admin session/role; local review is read-only bypass","yes","B","C","Admin / Support / Disputes / Trust","Primary UI exists, but all actions and domain transitions are not accepted end to end","Desktop/mobile and Persian/English acceptance is incomplete; loading, empty, error and permission states not all verified","N/A","N/A","P1","M","Route-level design and QA acceptance","apps/web/app/[locale]/(admin)/admin/disputes/page.tsx"
"/:locale/admin/disputes/:id","AdminDisputeDetailView","Admin","Admin Support / Trust","Admin session/role; local review is read-only bypass","yes","B","C","Admin / Support / Disputes / Trust","Dynamic ID, not-found, authorization and mutation path need route-level end-to-end acceptance","Desktop/mobile and Persian/English acceptance is incomplete; loading, empty, error, not-found and forbidden states not all verified","N/A","N/A","P1","M","Deterministic seeded IDs and role-scoped test fixtures","apps/web/app/[locale]/(admin)/admin/disputes/[id]/page.tsx"
"/:locale/admin/providers","AdminProvidersView","Admin","Admin Partners","Admin session/role; local review is read-only bypass","yes","B","C","Admin / Provider OS / Seller OS / Verification","Primary UI exists, but all actions and domain transitions are not accepted end to end","Desktop/mobile and Persian/English acceptance is incomplete; loading, empty, error and permission states not all verified","N/A","N/A","P1","M","Route-level design and QA acceptance","apps/web/app/[locale]/(admin)/admin/providers/page.tsx"
"/:locale/admin/reconciliation","AdminMarketplaceReconciliationView","Admin","Admin Finance","Admin session/role; local review is read-only bypass","yes","B","C","Payments / Ledger / Seller Finance / Reconciliation","Primary UI exists, but all actions and domain transitions are not accepted end to end","Desktop/mobile and Persian/English acceptance is incomplete; loading, empty, error and permission states not all verified","N/A","N/A","P1","M","Route-level design and QA acceptance","apps/web/app/[locale]/(admin)/admin/reconciliation/page.tsx"
"/:locale/admin/seller-finance","AdminSellerFinanceView","Admin","Admin Finance","Admin session/role; local review is read-only bypass","yes","B","C","Payments / Ledger / Seller Finance / Reconciliation","Primary UI exists, but all actions and domain transitions are not accepted end to end","Desktop/mobile and Persian/English acceptance is incomplete; loading, empty, error and permission states not all verified","N/A","N/A","P1","M","Route-level design and QA acceptance","apps/web/app/[locale]/(admin)/admin/seller-finance/page.tsx"
"/:locale/admin/seller-finance/:id","AdminSellerFinanceDetailView","Admin","Admin Finance","Admin session/role; local review is read-only bypass","yes","B","C","Payments / Ledger / Seller Finance / Reconciliation","Dynamic ID, not-found, authorization and mutation path need route-level end-to-end acceptance","Desktop/mobile and Persian/English acceptance is incomplete; loading, empty, error, not-found and forbidden states not all verified","N/A","N/A","P1","M","Deterministic seeded IDs and role-scoped test fixtures","apps/web/app/[locale]/(admin)/admin/seller-finance/[id]/page.tsx"
"/:locale/admin/sellers","AdminSellersView","Admin","Admin Partners","Admin session/role; local review is read-only bypass","yes","B","C","Admin / Provider OS / Seller OS / Verification","Primary UI exists, but all actions and domain transitions are not accepted end to end","Desktop/mobile and Persian/English acceptance is incomplete; loading, empty, error and permission states not all verified","N/A","N/A","P1","M","Route-level design and QA acceptance","apps/web/app/[locale]/(admin)/admin/sellers/page.tsx"
"/:locale/admin/settlements/:id","AdminSettlementDetailView","Admin","Admin Finance","Admin session/role; local review is read-only bypass","yes","B","C","Payments / Ledger / Seller Finance / Reconciliation","Dynamic ID, not-found, authorization and mutation path need route-level end-to-end acceptance","Desktop/mobile and Persian/English acceptance is incomplete; loading, empty, error, not-found and forbidden states not all verified","N/A","N/A","P1","M","Deterministic seeded IDs and role-scoped test fixtures","apps/web/app/[locale]/(admin)/admin/settlements/[id]/page.tsx"
"/:locale/admin/subscriptions","AdminSubscriptionPlansView","Admin","Admin Subscription","Admin session/role; local review is read-only bypass","yes","B","C","Admin / Subscriptions / Billing","Primary UI exists, but all actions and domain transitions are not accepted end to end","Desktop/mobile and Persian/English acceptance is incomplete; loading, empty, error and permission states not all verified","N/A","N/A","P1","M","Route-level design and QA acceptance","apps/web/app/[locale]/(admin)/admin/subscriptions/page.tsx"
"/:locale/admin/subscriptions/households","AdminSubscriptionHouseholdsView","Admin","Admin Subscription","Admin session/role; local review is read-only bypass","yes","B","C","Admin / Subscriptions / Billing","Primary UI exists, but all actions and domain transitions are not accepted end to end","Desktop/mobile and Persian/English acceptance is incomplete; loading, empty, error and permission states not all verified","N/A","N/A","P1","M","Route-level design and QA acceptance","apps/web/app/[locale]/(admin)/admin/subscriptions/households/page.tsx"
"/:locale/admin/subscriptions/households/:id","AdminSubscriptionHouseholdDetailView","Admin","Admin Subscription","Admin session/role; local review is read-only bypass","yes","B","C","Admin / Subscriptions / Billing","Dynamic ID, not-found, authorization and mutation path need route-level end-to-end acceptance","Desktop/mobile and Persian/English acceptance is incomplete; loading, empty, error, not-found and forbidden states not all verified","N/A","N/A","P1","M","Deterministic seeded IDs and role-scoped test fixtures","apps/web/app/[locale]/(admin)/admin/subscriptions/households/[id]/page.tsx"
"/:locale/admin/support","AdminSupportQueueView","Admin","Admin Support / Trust","Admin session/role; local review is read-only bypass","yes","B","C","Admin / Support / Disputes / Trust","Primary UI exists, but all actions and domain transitions are not accepted end to end","Desktop/mobile and Persian/English acceptance is incomplete; loading, empty, error and permission states not all verified","N/A","N/A","P1","M","Route-level design and QA acceptance","apps/web/app/[locale]/(admin)/admin/support/page.tsx"
"/:locale/admin/support/:caseId","AdminSupportCaseDetailView","Admin","Admin Support / Trust","Admin session/role; local review is read-only bypass","yes","B","C","Admin / Support / Disputes / Trust","Dynamic ID, not-found, authorization and mutation path need route-level end-to-end acceptance","Desktop/mobile and Persian/English acceptance is incomplete; loading, empty, error, not-found and forbidden states not all verified","N/A","N/A","P1","M","Deterministic seeded IDs and role-scoped test fixtures","apps/web/app/[locale]/(admin)/admin/support/[caseId]/page.tsx"
"/:locale/admin/tasks","AdminTasksView","Admin","Admin Overview","Admin session/role; local review is read-only bypass","yes","B","C","Admin aggregate endpoints","Primary UI exists, but all actions and domain transitions are not accepted end to end","Desktop/mobile and Persian/English acceptance is incomplete; loading, empty, error and permission states not all verified","N/A","N/A","P1","M","Route-level design and QA acceptance","apps/web/app/[locale]/(admin)/admin/tasks/page.tsx"
"/:locale/admin/transactions","AdminTransactionsView","Admin","Admin Finance","Admin session/role; local review is read-only bypass","yes","B","C","Payments / Ledger / Seller Finance / Reconciliation","Primary UI exists, but all actions and domain transitions are not accepted end to end","Desktop/mobile and Persian/English acceptance is incomplete; loading, empty, error and permission states not all verified","N/A","N/A","P1","M","Route-level design and QA acceptance","apps/web/app/[locale]/(admin)/admin/transactions/page.tsx"
"/:locale/admin/trust","AdminTrustView","Admin","Admin Support / Trust","Admin session/role; local review is read-only bypass","yes","B","C","Admin / Support / Disputes / Trust","Primary UI exists, but all actions and domain transitions are not accepted end to end","Desktop/mobile and Persian/English acceptance is incomplete; loading, empty, error and permission states not all verified","N/A","N/A","P1","M","Route-level design and QA acceptance","apps/web/app/[locale]/(admin)/admin/trust/page.tsx"
"/:locale/admin/trust/:id","AdminTrustCaseDetailView","Admin","Admin Support / Trust","Admin session/role; local review is read-only bypass","yes","B","C","Admin / Support / Disputes / Trust","Dynamic ID, not-found, authorization and mutation path need route-level end-to-end acceptance","Desktop/mobile and Persian/English acceptance is incomplete; loading, empty, error, not-found and forbidden states not all verified","N/A","N/A","P1","M","Deterministic seeded IDs and role-scoped test fixtures","apps/web/app/[locale]/(admin)/admin/trust/[id]/page.tsx"
"/:locale/ai","PlaceholderView","Member","AI","Member session; local review bypass exists","no / indirect","C","D","No production AI capability wired","Placeholder only; no production assistant workflow or backend","Desktop/mobile and Persian/English acceptance is incomplete; loading, empty, error and permission states not all verified","N/A","N/A","P1","L","Missing backend/domain implementation","apps/web/app/[locale]/(app)/ai/page.tsx"
"/:locale/animal-support","AnimalSupportOrganizationListView","Public / member","Animal Support","Public browse; session required for protected mutations where applicable","yes","B","C","Animal Support / Storage / Notifications","Primary UI exists, but all actions and domain transitions are not accepted end to end","Desktop/mobile and Persian/English acceptance is incomplete; loading, empty, error and permission states not all verified","No admin animal-support page","Missing shelter/NGO portal","P1","S","Route-level design and QA acceptance","apps/web/app/[locale]/(public)/animal-support/page.tsx"
"/:locale/animal-support/campaigns","SupportCampaignListView","Public / member","Animal Support","Public browse; session required for protected mutations where applicable","yes","B","C","Animal Support / Storage / Notifications","Primary UI exists, but all actions and domain transitions are not accepted end to end","Desktop/mobile and Persian/English acceptance is incomplete; loading, empty, error and permission states not all verified","No admin animal-support page","Missing shelter/NGO portal","P1","S","Route-level design and QA acceptance","apps/web/app/[locale]/(public)/animal-support/campaigns/page.tsx"
"/:locale/animal-support/campaigns/:campaignId","SupportCampaignDetailView","Public / member","Animal Support","Public browse; session required for protected mutations where applicable","yes","B","C","Animal Support / Storage / Notifications","Dynamic ID, not-found, authorization and mutation path need route-level end-to-end acceptance","Desktop/mobile and Persian/English acceptance is incomplete; loading, empty, error, not-found and forbidden states not all verified","No admin animal-support page","Missing shelter/NGO portal","P1","M","Deterministic seeded IDs and role-scoped test fixtures","apps/web/app/[locale]/(public)/animal-support/campaigns/[campaignId]/page.tsx"
"/:locale/animal-support/needs","SupportNeedsListView","Public / member","Animal Support","Public browse; session required for protected mutations where applicable","yes","B","C","Animal Support / Storage / Notifications","Primary UI exists, but all actions and domain transitions are not accepted end to end","Desktop/mobile and Persian/English acceptance is incomplete; loading, empty, error and permission states not all verified","No admin animal-support page","Missing shelter/NGO portal","P1","S","Route-level design and QA acceptance","apps/web/app/[locale]/(public)/animal-support/needs/page.tsx"
"/:locale/animal-support/needs/:listingId","SupportNeedDetailView","Public / member","Animal Support","Public browse; session required for protected mutations where applicable","yes","B","C","Animal Support / Storage / Notifications","Dynamic ID, not-found, authorization and mutation path need route-level end-to-end acceptance","Desktop/mobile and Persian/English acceptance is incomplete; loading, empty, error, not-found and forbidden states not all verified","No admin animal-support page","Missing shelter/NGO portal","P1","M","Deterministic seeded IDs and role-scoped test fixtures","apps/web/app/[locale]/(public)/animal-support/needs/[listingId]/page.tsx"
"/:locale/animal-support/needs/mine","MySupportNeedsView","Public / member","Animal Support","Public browse; session required for protected mutations where applicable","yes","B","C","Animal Support / Storage / Notifications","Primary UI exists, but all actions and domain transitions are not accepted end to end","Desktop/mobile and Persian/English acceptance is incomplete; loading, empty, error and permission states not all verified","No admin animal-support page","Missing shelter/NGO portal","P1","S","Route-level design and QA acceptance","apps/web/app/[locale]/(public)/animal-support/needs/mine/page.tsx"
"/:locale/animal-support/needs/new","CreateSupportNeedView","Public / member","Animal Support","Public browse; session required for protected mutations where applicable","yes","B","C","Animal Support / Storage / Notifications","Primary UI exists, but all actions and domain transitions are not accepted end to end","Desktop/mobile and Persian/English acceptance is incomplete; loading, empty, error and permission states not all verified","No admin animal-support page","Missing shelter/NGO portal","P1","S","Route-level design and QA acceptance","apps/web/app/[locale]/(public)/animal-support/needs/new/page.tsx"
"/:locale/animal-support/organizations/:organizationId","AnimalSupportOrganizationDetailView","Public / member","Animal Support","Public browse; session required for protected mutations where applicable","yes","B","C","Animal Support / Storage / Notifications","Dynamic ID, not-found, authorization and mutation path need route-level end-to-end acceptance","Desktop/mobile and Persian/English acceptance is incomplete; loading, empty, error, not-found and forbidden states not all verified","No admin animal-support page","Missing shelter/NGO portal","P1","M","Deterministic seeded IDs and role-scoped test fixtures","apps/web/app/[locale]/(public)/animal-support/organizations/[organizationId]/page.tsx"
"/:locale/auth","auth","Guest / member","Auth","Public browse; session required for protected mutations where applicable","yes","B","C","Auth / Users / external OTP-email-OAuth adapters","Production OTP/email and OAuth credentials/integration acceptance remain","Desktop/mobile and Persian/English acceptance is incomplete; loading, empty, error and permission states not all verified","N/A","N/A","P2","S","SMS/email/OAuth provider credentials and production callback configuration","apps/web/app/[locale]/(auth)/auth/page.tsx"
"/:locale/auth/complete","complete","Guest / member","Auth","Public browse; session required for protected mutations where applicable","yes","B","C","Auth / Users / external OTP-email-OAuth adapters","Production OTP/email and OAuth credentials/integration acceptance remain","Desktop/mobile and Persian/English acceptance is incomplete; loading, empty, error and permission states not all verified","N/A","N/A","P2","S","SMS/email/OAuth provider credentials and production callback configuration","apps/web/app/[locale]/(auth)/auth/complete/page.tsx"
"/:locale/blog","PublicBlogIndexView","Public / member","Blog","Public browse; session required for protected mutations where applicable","yes","B","C","Content / CMS / Storage","Primary UI exists, but all actions and domain transitions are not accepted end to end","Desktop/mobile and Persian/English acceptance is incomplete; loading, empty, error and permission states not all verified","Admin CMS exists","N/A","P2","S","Route-level design and QA acceptance","apps/web/app/[locale]/(public)/blog/page.tsx"
"/:locale/blog/:slug","PublicBlogArticleView","Public / member","Blog","Public browse; session required for protected mutations where applicable","yes","B","C","Content / CMS / Storage","Dynamic ID, not-found, authorization and mutation path need route-level end-to-end acceptance","Desktop/mobile and Persian/English acceptance is incomplete; loading, empty, error, not-found and forbidden states not all verified","Admin CMS exists","N/A","P2","M","Deterministic seeded IDs and role-scoped test fixtures","apps/web/app/[locale]/(public)/blog/[slug]/page.tsx"
"/:locale/blog/category/:slug","PublicBlogCategoryView","Public / member","Blog","Public browse; session required for protected mutations where applicable","yes","B","C","Content / CMS / Storage","Dynamic ID, not-found, authorization and mutation path need route-level end-to-end acceptance","Desktop/mobile and Persian/English acceptance is incomplete; loading, empty, error, not-found and forbidden states not all verified","Admin CMS exists","N/A","P2","M","Deterministic seeded IDs and role-scoped test fixtures","apps/web/app/[locale]/(public)/blog/category/[slug]/page.tsx"
"/:locale/blog/tag/:slug","PublicBlogTagView","Public / member","Blog","Public browse; session required for protected mutations where applicable","yes","B","C","Content / CMS / Storage","Dynamic ID, not-found, authorization and mutation path need route-level end-to-end acceptance","Desktop/mobile and Persian/English acceptance is incomplete; loading, empty, error, not-found and forbidden states not all verified","Admin CMS exists","N/A","P2","M","Deterministic seeded IDs and role-scoped test fixtures","apps/web/app/[locale]/(public)/blog/tag/[slug]/page.tsx"
"/:locale/bookings","MyBookingsView","Member","Booking","Member session; local review bypass exists","yes","B","C","Bookings / Providers / Services / Notifications","Primary UI exists, but all actions and domain transitions are not accepted end to end","Desktop/mobile and Persian/English acceptance is incomplete; loading, empty, error and permission states not all verified","No dedicated admin booking operations page","Provider bookings exists","P1","S","Route-level design and QA acceptance","apps/web/app/[locale]/(app)/bookings/page.tsx"
"/:locale/bookings/:id","BookingDetailView","Member","Booking","Member session; local review bypass exists","yes","B","C","Bookings / Providers / Services / Notifications","Dynamic ID, not-found, authorization and mutation path need route-level end-to-end acceptance","Desktop/mobile and Persian/English acceptance is incomplete; loading, empty, error, not-found and forbidden states not all verified","No dedicated admin booking operations page","Provider bookings exists","P1","M","Deterministic seeded IDs and role-scoped test fixtures","apps/web/app/[locale]/(app)/bookings/[id]/page.tsx"
"/:locale/care-calendar","CareCalendarView","Member","Care / Reminders","Member session; local review bypass exists","yes","B","C","Care Calendar / Care Profile / Notifications","Primary UI exists, but all actions and domain transitions are not accepted end to end","Desktop/mobile and Persian/English acceptance is incomplete; loading, empty, error and permission states not all verified","N/A","N/A","P2","S","Route-level design and QA acceptance","apps/web/app/[locale]/(app)/care-calendar/page.tsx"
"/:locale/cart","CartView","Member","Cart","Member session; local review bypass exists","yes","B","C","Cart / Catalog / Pet Access","Primary UI exists, but all actions and domain transitions are not accepted end to end","Desktop/mobile and Persian/English acceptance is incomplete; loading, empty, error and permission states not all verified","N/A","N/A","P2","S","Route-level design and QA acceptance","apps/web/app/[locale]/(app)/cart/page.tsx"
"/:locale/checkout","CheckoutView","Member","Checkout","Member session; local review bypass exists","yes","E","C","Checkout / Payment / Financing / Logistics / Orders","Live payment/BNPL adapters are not implemented; only simulated flow is proven","Desktop/mobile and Persian/English acceptance is incomplete; loading, empty, error and permission states not all verified","Finance/reconciliation only; no checkout incident workspace","Seller order/finance exists","P0","L","Merchant, BNPL and shipping production credentials/contracts","apps/web/app/[locale]/(app)/checkout/page.tsx"
"/:locale/checkout/:id/confirmation","OrderConfirmationView","Member","Checkout","Member session; local review bypass exists","yes","E","C","Checkout / Payment / Financing / Logistics / Orders","Live payment/BNPL adapters are not implemented; only simulated flow is proven","Desktop/mobile and Persian/English acceptance is incomplete; loading, empty, error, not-found and forbidden states not all verified","Finance/reconciliation only; no checkout incident workspace","Seller order/finance exists","P0","L","Merchant, BNPL and shipping production credentials/contracts","apps/web/app/[locale]/(app)/checkout/[id]/confirmation/page.tsx"
"/:locale/checkout/:id/ops","CheckoutOpsView","Member","Checkout","Member session; local review bypass exists","yes","E","C","Checkout / Payment / Financing / Logistics / Orders","Live payment/BNPL adapters are not implemented; only simulated flow is proven","Desktop/mobile and Persian/English acceptance is incomplete; loading, empty, error, not-found and forbidden states not all verified","Finance/reconciliation only; no checkout incident workspace","Seller order/finance exists","P0","L","Merchant, BNPL and shipping production credentials/contracts","apps/web/app/[locale]/(app)/checkout/[id]/ops/page.tsx"
"/:locale/community","CommunityFeedView","Public / member","Community","Public browse; session required for protected mutations where applicable","yes","B","C","Community / Storage","Primary UI exists, but all actions and domain transitions are not accepted end to end","Desktop/mobile and Persian/English acceptance is incomplete; loading, empty, error and permission states not all verified","No admin community moderation page","N/A","P2","S","Route-level design and QA acceptance","apps/web/app/[locale]/(public)/community/page.tsx"
"/:locale/community/new","CreateCommunityPostView","Public / member","Community","Public browse; session required for protected mutations where applicable","yes","B","C","Community / Storage","Primary UI exists, but all actions and domain transitions are not accepted end to end","Desktop/mobile and Persian/English acceptance is incomplete; loading, empty, error and permission states not all verified","No admin community moderation page","N/A","P2","S","Route-level design and QA acceptance","apps/web/app/[locale]/(public)/community/new/page.tsx"
"/:locale/community/posts/:postId","CommunityPostDetailView","Public / member","Community","Public browse; session required for protected mutations where applicable","yes","B","C","Community / Storage","Dynamic ID, not-found, authorization and mutation path need route-level end-to-end acceptance","Desktop/mobile and Persian/English acceptance is incomplete; loading, empty, error, not-found and forbidden states not all verified","No admin community moderation page","N/A","P2","M","Deterministic seeded IDs and role-scoped test fixtures","apps/web/app/[locale]/(public)/community/posts/[postId]/page.tsx"
"/:locale/donations","MyDonationsView","Member","Animal Support","Member session; local review bypass exists","yes","B","C","Animal Support / Storage / Notifications","Primary UI exists, but all actions and domain transitions are not accepted end to end","Desktop/mobile and Persian/English acceptance is incomplete; loading, empty, error and permission states not all verified","No admin animal-support page","Missing shelter/NGO portal","P1","S","Route-level design and QA acceptance","apps/web/app/[locale]/(app)/donations/page.tsx"
"/:locale/home","ApprovedDashboardView","Member","Member Home","Member session; local review bypass exists","yes","B","C","Home aggregates / session context","Primary UI exists, but all actions and domain transitions are not accepted end to end","Desktop/mobile and Persian/English acceptance is incomplete; loading, empty, error and permission states not all verified","N/A","N/A","P2","S","Route-level design and QA acceptance","apps/web/app/[locale]/(app)/home/page.tsx"
"/:locale/insurance","InsuranceListView","Public / member","Insurance","Public browse; session required for protected mutations where applicable","yes","B","C","Insurance","Primary UI exists, but all actions and domain transitions are not accepted end to end","Desktop/mobile and Persian/English acceptance is incomplete; loading, empty, error and permission states not all verified","No admin insurance page","Missing insurer portal","P1","S","Route-level design and QA acceptance","apps/web/app/[locale]/(public)/insurance/page.tsx"
"/:locale/insurance/:productId","InsuranceProductDetailView","Public / member","Insurance","Public browse; session required for protected mutations where applicable","yes","B","C","Insurance","Dynamic ID, not-found, authorization and mutation path need route-level end-to-end acceptance","Desktop/mobile and Persian/English acceptance is incomplete; loading, empty, error, not-found and forbidden states not all verified","No admin insurance page","Missing insurer portal","P1","M","Deterministic seeded IDs and role-scoped test fixtures","apps/web/app/[locale]/(public)/insurance/[productId]/page.tsx"
"/:locale/insurance/compare","InsuranceCompareView","Public / member","Insurance","Public browse; session required for protected mutations where applicable","yes","B","C","Insurance","Primary UI exists, but all actions and domain transitions are not accepted end to end","Desktop/mobile and Persian/English acceptance is incomplete; loading, empty, error and permission states not all verified","No admin insurance page","Missing insurer portal","P1","S","Route-level design and QA acceptance","apps/web/app/[locale]/(public)/insurance/compare/page.tsx"
"/:locale/lost-pets","PublicLostPetListView","Public / member","Lost Pet","Public browse; session required for protected mutations where applicable","yes","B","C","Lost Pet / Storage / messaging","Primary UI exists, but all actions and domain transitions are not accepted end to end","Desktop/mobile and Persian/English acceptance is incomplete; loading, empty, error and permission states not all verified","No admin lost-pet operations page","N/A","P2","S","Route-level design and QA acceptance","apps/web/app/[locale]/(public)/lost-pets/page.tsx"
